"ADVERTISER","TARGETED COUNTRIES","LINK ID","NAME","DESCRIPTION","KEYWORDS","LINK TYPE","THREE MONTH EPC","SEVEN DAY EPC","LAST UDPATED","HTML LINKS","JAVASCRIPT LINKS","CLICK URL","PROMOTION TYPE","COUPON CODE","PROMOTIONAL DATE","PROMOTIONAL END DATE","CATEGORY","ADV_CID","RELATIONSHIP STATUS","LANGUAGE","MOBILE OPTIMIZED"
"TicketNetwork",,"11179271","Concerts - Pink","Pink tickets at Ticketnetwork.com","Pink, concert, tickets, tour, pop, P!nk","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.jdoqocy.com/click-7839687-11179271-1405698138000"" target=""_blank"">Pink Tickets</a><img src=""http://www.tqlkg.com/image-7839687-11179271-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-16150991?target=_blank&mouseover=N""></script>","http://www.kqzyfj.com/click-7839687-11179271-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11268542","Concerts - Bon Jovi - 125 x 125","Click Here For Bon Jovi Tickets","Bon Jovi, Tickets, Concerts, Circle Tour, Rock, Rock Band","Banner","N/A","N/A","18-Jul-2014","<a href=""http://www.jdoqocy.com/click-7839687-11268542-1405698138000"" target=""_blank""> <img src=""http://www.awltovhc.com/image-7839687-11268542-1405698138000"" width=""125"" height=""125"" alt=""Buy Bon Jovi Tickets"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-16150992?target=_blank&mouseover=N""></script>","http://www.dpbolvw.net/click-7839687-11268542-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11492158","Concerts - MGMT","MGMT Tickets at TicketNetwork.com","MGMT, tickets, fun, music, concert","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.anrdoezrs.net/click-7839687-11492158-1405698138000"" target=""_blank"">MGMT Tickets</a><img src=""http://www.awltovhc.com/image-7839687-11492158-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.dpbolvw.net/placeholder-16150993?target=_blank&mouseover=N""></script>","http://www.anrdoezrs.net/click-7839687-11492158-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11300312","Concerts - Fun.","Fun. tickets at TicketNetwork.com","fun., fun, concert, grammy winner, some nights, we are young","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.tkqlhce.com/click-7839687-11300312-1405698138000"" target=""_blank"">Fun. Tickets</a><img src=""http://www.ftjcfx.com/image-7839687-11300312-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-16150994?target=_blank&mouseover=N""></script>","http://www.dpbolvw.net/click-7839687-11300312-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11311693","Concert - Bruno Mars","Bruno Mars tickets at TicketNetwork.com","Bruno Mars, bruno, mars, music, concerts","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.jdoqocy.com/click-7839687-11311693-1405698138000"" target=""_blank"">Bruno Mars Tickets</a><img src=""http://www.awltovhc.com/image-7839687-11311693-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-16150995?target=_blank&mouseover=N""></script>","http://www.jdoqocy.com/click-7839687-11311693-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11500811","Concerts - Cher","Cher Tickets at TicketNetwork.com","Cher, tour, concert, tickets, fun","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.tkqlhce.com/click-7839687-11500811-1405698138000"" target=""_blank"">Cher Tickets</a><img src=""http://www.awltovhc.com/image-7839687-11500811-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.anrdoezrs.net/placeholder-16150996?target=_blank&mouseover=N""></script>","http://www.anrdoezrs.net/click-7839687-11500811-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11034315","Concerts - ZZ Top","ZZ Top tickets at TicketNetwork.com","ZZ Top, classic rock, music, tickets, concerts, blues","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.jdoqocy.com/click-7839687-11034315-1405698138000"" target=""_blank"">ZZ Top Tickets</a><img src=""http://www.awltovhc.com/image-7839687-11034315-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.dpbolvw.net/placeholder-16150997?target=_blank&mouseover=N""></script>","http://www.dpbolvw.net/click-7839687-11034315-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11179229","Concerts - Muse","Muse tickets at Ticketnetwork.com","Muse, concert, tickets, tour, alternative rock, Matthew Ballamy","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.anrdoezrs.net/click-7839687-11179229-1405698138000"" target=""_blank"">Muse Tickets</a><img src=""http://www.tqlkg.com/image-7839687-11179229-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-16150998?target=_blank&mouseover=N""></script>","http://www.jdoqocy.com/click-7839687-11179229-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11114610","Concerts - The Who","The Who tickets at TicketNetwork.com","The Who, concert, tickets, tour, Roger Daltrey, Pete Townshend, rock","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.anrdoezrs.net/click-7839687-11114610-1405698138000"" target=""_blank"">The Who Tickets</a><img src=""http://www.awltovhc.com/image-7839687-11114610-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.dpbolvw.net/placeholder-16150999?target=_blank&mouseover=N""></script>","http://www.kqzyfj.com/click-7839687-11114610-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11252643","Concert- Luke Bryan","Luke Bryan tickets at TicketNetwork.com","Luke Bryan, Concert, Fun, Tickets","Text Link","9.74 € EUR","N/A","18-Jul-2014","<a href=""http://www.kqzyfj.com/click-7839687-11252643-1405698138000"" target=""_blank"">Luke Bryan Tickets</a><img src=""http://www.tqlkg.com/image-7839687-11252643-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-16151000?target=_blank&mouseover=N""></script>","http://www.tkqlhce.com/click-7839687-11252643-1405698138000","N/A","","","","Events","2288710","Active","English","No"
